date,"Emissions liées aux carburants, en millions de tonnes de CO2","Emissions liées aux combustibles, en millions de tonnes de CO2",Emissions totale
1990,15.4491830779158,23.4088409539035,38.8580240318193
1991,15.929118284492,23.2508647438026,39.1799830282946
1992,16.2585739805422,23.8486416497727,40.1072156303149
1993,15.2168569291594,22.6555635646011,37.8724204937605
1994,15.3994934657495,22.9309962146956,38.3304896804451
1995,15.1005792549468,22.7024598374676,37.8030390924144
1996,15.1603917704376,21.8724337824029,37.0328255528405
1997,15.7366409204415,22.7394923442782,38.4761332647197
1998,15.9637663818924,23.2117435637386,39.175509945631
1999,16.5687503319917,22.2263879566919,38.7951382886836
2000,16.8365984986656,22.4615488922056,39.2981473908712
2001,16.5596455826293,22.7431760327274,39.3028216153567
2002,16.5141294978802,22.3779018980003,38.8920313958805
2003,16.6835560218559,22.1825050824148,38.8660611042707
2004,16.8093139256754,22.3323348528843,39.1416487785597
2005,16.8934667001173,22.058141716677,38.9516084167943
2006,17.0309261905127,21.8705547073956,38.9014808979083
2007,17.3555617880294,21.4736909115407,38.8292526995701
2008,17.7069038633973,20.8746968049167,38.581600668314
2009,17.5154244804505,20.3646780753515,37.880102555802
2010,17.4180464561473,20.0811472629724,37.4991937191197
2011,17.2257215117505,19.5423799636829,36.7681014754334
2012,17.3478997872349,19.2037829636738,36.5516827509087
2013,17.258856427816,18.8617833938332,36.1206398216492
2014,17.1565509514856,18.3618675417869,35.5184184932725
2015,16.4203622277854,17.8607109092042,34.2810731369896
2016,16.2557315601803,17.5434273322009,33.7991588923812
2017,15.9774988931155,17.2067483568096,33.1842472499251
2018,15.975623237018,16.7964508972062,32.7720741342242
2019,15.9157372758494,16.4356584859067,32.3513957617561
2020,14.6187097225823,16.1169449722464,30.7356546948287
2021,14.7939582958361,15.7464279961894,30.5403862920255
2022,14.6283803854564,14.9814007018031,29.6097810872595
2023,14.6470023837801,13.655079079754,28.3020814635341
