date,ZH,BE,LU,UR,SZ,OW,NW,GL,ZG,FR,SO,BS,BL,SH,AR,AI,SG,GR,AG,TG,TI,VD,VS,NE,GE,JU,total_ev
2014,485,252,86,6,50,10,16,18,30,111,105,13,36,20,17,99,93,97,107,54,162,268,82,22,149,32,2420
2015,1951,443,242,9,144,17,28,22,179,122,128,53,175,43,24,423,243,119,541,131,310,370,137,54,277,33,6218
2016,1689,615,249,9,130,26,25,18,166,127,145,63,169,45,35,328,273,165,523,163,336,443,157,74,327,33,6333
2017,2299,721,301,17,168,40,30,21,211,187,219,82,251,83,47,123,401,172,716,188,348,779,268,94,454,55,8275
2018,2348,849,343,16,233,58,32,28,259,237,342,194,333,83,54,210,488,200,764,284,420,776,228,99,496,60,9434
2019,4153,1393,734,42,393,54,70,56,443,503,475,256,540,149,87,156,993,369,1493,626,706,1856,501,279,861,119,17307
2020,7654,2750,1492,91,694,136,140,139,885,1073,895,475,1003,270,132,1042,1983,678,2870,1065,1538,3533,1114,555,1644,230,34081
2021,10624,4632,2280,192,1090,189,237,223,1393,2198,1398,691,1551,488,195,1138,2973,1100,4792,1852,2771,5843,2265,941,2640,429,54125
2022,11430,5108,2512,170,1279,214,306,264,1853,2426,1593,776,1704,492,232,1373,3514,1212,5010,2013,2816,6533,2662,1020,2528,515,59555
2023,14825,6671,3805,263,1641,281,426,354,2192,2981,2164,1047,2255,627,364,2562,4418,1703,6743,2318,3542,7772,2699,1251,2941,603,76448
